NoiseType,MMSE,SignalPower
impulse_spikes,0.1,0.394
white,0.0,0.48900000000000005
pink,0.0,0.5
brown,0.1,0.4
multi_tone,0.0,0.5170000000000001
impulse_spikes,0.0,0.493
white,0.0,0.4940000000000001
pink,0.0,0.5130000000000001
brown,0.0,0.48900000000000005
multi_tone,0.0,0.507
impulse_spikes,0.0,0.4790000000000001
white,0.0,0.4720000000000001
pink,0.0,0.497
brown,0.1,0.4149999999999999
multi_tone,0.0,0.5210000000000001
impulse_spikes,0.1,0.38500000000000006
white,0.1,0.392
pink,0.0,0.47400000000000003
brown,0.0,0.495
multi_tone,0.1,0.381
impulse_spikes,0.0,0.5
white,0.0,0.52
pink,0.0,0.5090000000000001
brown,0.1,0.4069999999999999
multi_tone,0.0,0.491
impulse_spikes,0.0,0.4490000000000001
white,0.0,0.49799999999999994
pink,0.0,0.4660000000000001
brown,0.0,0.48200000000000004
multi_tone,0.1,0.40499999999999997
impulse_spikes,0.1,0.425
white,0.0,0.503
pink,0.1,0.46900000000000014
brown,0.0,0.524
multi_tone,0.1,0.442
impulse_spikes,0.1,0.37500000000000006
white,0.0,0.4830000000000001
pink,0.0,0.489
brown,0.0,0.519
multi_tone,0.0,0.48600000000000004
impulse_spikes,0.0,0.49400000000000005
white,0.0,0.49800000000000005
pink,0.1,0.4530000000000001
brown,0.0,0.5010000000000001
multi_tone,0.3,0.04
impulse_spikes,0.2,0.391
white,0.0,0.49700000000000005
pink,0.0,0.48600000000000004
brown,0.0,0.527
multi_tone,0.0,0.47800000000000004
impulse_spikes,0.0,0.47300000000000003
white,0.1,0.434
pink,0.0,0.4880000000000001
brown,0.0,0.46900000000000003
multi_tone,0.0,0.523
impulse_spikes,0.0,0.425
white,0.0,0.515
pink,0.1,0.437
brown,0.0,0.5190000000000001
multi_tone,0.0,0.499
impulse_spikes,0.0,0.4370000000000001
white,0.0,0.47400000000000003
pink,0.0,0.471
brown,0.4,0.03200000000000001
multi_tone,0.0,0.508
impulse_spikes,0.1,0.389
white,0.0,0.48500000000000004
pink,0.0,0.4790000000000001
brown,0.0,0.49700000000000005
multi_tone,0.1,0.403
impulse_spikes,0.0,0.4790000000000001
white,0.0,0.5020000000000001
pink,0.1,0.46799999999999997
brown,0.0,0.4830000000000001
multi_tone,0.0,0.47300000000000003
impulse_spikes,0.1,0.39100000000000007
white,0.0,0.4370000000000001
pink,0.0,0.454
brown,0.0,0.5210000000000001
multi_tone,0.1,0.46900000000000014
impulse_spikes,0.0,0.5120000000000001
white,0.1,0.45
pink,0.1,0.45899999999999996
brown,0.3,0.213
multi_tone,0.0,0.5090000000000001
impulse_spikes,0.0,0.495
white,0.0,0.45200000000000007
pink,0.0,0.506
brown,0.0,0.48100000000000004
multi_tone,0.1,0.382
impulse_spikes,0.0,0.476
white,0.1,0.4050000000000001
pink,0.0,0.492
brown,0.0,0.518
multi_tone,0.0,0.508
impulse_spikes,0.0,0.48100000000000004
white,0.0,0.45499999999999996
pink,0.1,0.4630000000000001
brown,0.4,0.078
multi_tone,0.0,0.4960000000000001
